Location,Premium,Brand_Model,Bluk_Price_DP,Year,Bluk_2,Url
"location_on
Cairo
, Heliopolis",Premium,Skoda kodiaq 2024 الان من شرقاوي اوتو,"Skoda kodiaq 2024 الان من شرقاوي اوتو
770,000EGP
Min. DP:154,000EGP",2024,"Skoda
KODIAQ
2024
New
Automatic",https://www.contactcars.com/en/new-cars/skoda-kodiaq/for-sale/35f9fcb2f3f448c5a7f079a5a7293304?status=New?dealer=1519420
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,Brand New Jaguar F-Pace 2022,"Brand New Jaguar F-Pace 2022

2.0 A/T P250 R Dynamic SE

Down Payment400,000EGP",2022,"Jaguar
F-PACE
2022
New
Automatic",https://www.contactcars.com/en/new-cars/jaguar-f_pace/for-sale/300d7184d1bc4402970e34acbb6cf49f?status=New?dealer=1519480
"location_on
Cairo
, Heliopolis",Premium,اكسنت RB بحالة الزيرو,"اكسنت RB بحالة الزيرو

1.6 A/T GL DAB ABS Tinted glass

850,000EGP
Min. DP:170,000EGP",2024,"Hyundai
Accent RB
2024
Used
42
km
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/hyundai-accent_rb/7d9eb511d95f4073a64c47c2404a5a18?status=Used
"location_on
Eastern
, 10th of Ramadan",Premium,MBW X5 M50,"MBW X5 M50

4.4 A/T Pure Experience

3,100,000EGP",2017,"BMW
X5
2017
Used
160,000
km
Automatic
almost new
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/used-cars/bmw-x5/fe67a6d390e149db8b63c9af95639320?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,متسوبيشي اكسباندر2024 - MITSUBISHI XPANDER خليجي أستيراد,"متسوبيشي اكسباندر2024 - MITSUBISHI XPANDER خليجي أستيراد
930,000EGP",2024,"Mitsubishi
Xpander
2024
New
Automatic
Imported Specs
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/new-cars/mitsubishi-xpander/for-sale/ff8b6faf5dbd427d97f1fab16a0e30c5?status=New?dealer=1519530
"location_on
Eastern
, 10th of Ramadan",Premium,Corolla 2020 fo sale,"Corolla 2020 fo sale

1.6L Active

900,000EGP",2020,"Toyota
Corolla
2020
Used
88,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/toyota-corolla/943945e3d19f4b54b5899c30439d9bb9?status=Used
"location_on
Cairo
, Heliopolis",Premium,GLC 200 Coupe 2024,"GLC 200 Coupe 2024
Down Payment1,500,000EGP",2024,"Mercedes
GLC 200
2024
New
Automatic",https://www.contactcars.com/en/new-cars/mercedes-glc_200/for-sale/00da128df5d84997bdd33ff6fb868d07?status=New?dealer=1519501
"location_on
Giza
, El Mohndseen",Premium,Mercedes GLC300 2024,"Mercedes GLC300 2024
5,700,000EGP
Min. DP:1,140,000EGP",2024,"Mercedes
GLC 300
2024
New
Automatic
Imported Specs
In Warranty",https://www.contactcars.com/en/new-cars/mercedes-glc_300/for-sale/05bca4a640714424b453ec6c988f8c24?status=New
"location_on
Cairo
, Nasr City",Premium,Mercedes C200 2023,"Mercedes C200 2023
1,000,000EGP",2023,"Mercedes
C200
2023
New
Automatic
Imported Specs
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/mercedes-c200/for-sale/7a87844fcb1d420093bff09e3f67faed?status=New?dealer=1519511
"location_on
Cairo
, Nasr City",Premium,Opel grandland 2023,"Opel grandland 2023

1.6 A/T Turbo H/L

Down Payment425,000EGP",2023,"OPEL
Grand Land
2023
New
Automatic",https://www.contactcars.com/en/new-cars/opel-grand_land/for-sale/85e8863ea10644caabf286a63b6e4c3c?status=New?dealer=1519511
"location_on
Cairo
, Nasr City",Premium,Audi Q3 Sline 2024,"Audi Q3 Sline 2024
2,650,000EGP
Min. DP:530,000EGP",2024,"Audi
Q3
2024
Used
10
km
Automatic",https://www.contactcars.com/en/used-cars/audi-q3/0727ba09ab744acbaec844e66b36709a?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,بي ام دبليو اكس ٦ بحالة ممتازة,"بي ام دبليو اكس ٦ بحالة ممتازة
3,500,000EGP",2017,"BMW
X6
2017
Used
78,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/bmw-x6/df3f5b3ba3eb4b5a9e6c349938e864c0?status=Used
"location_on
Cairo
, Nasr City",Premium,Mercedes-Benz E200 2021,"Mercedes-Benz E200 2021

2.0 A/T AMG Coupe Designo MAGNO

4,500,000EGP
Min. DP:900,000EGP",2021,"Mercedes
E200
2021
Used
50,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/mercedes-e200/fa79df60407b4df1a3facdff904a6e3c?status=Used?dealer=1519523
"location_on
Cairo
, Nasr City",Premium,KIA SPORTAGE 2024,"KIA SPORTAGE 2024

1.6 A/T GT

Down Payment630,000EGP",2024,"Kia
Sportage NQ5
2024
New
Automatic",https://www.contactcars.com/en/new-cars/kia-sportage_nq5/for-sale/7c85bc43c93d4a6fa464ee70421f1dde?status=New?dealer=1519455
"location_on
Cairo
, Rehab City",Premium,أودي A5 Slin 2019 فابريكة,"أودي A5 Slin 2019 فابريكة

1.4 A/T Sport Line

2,300,000EGP
Min. DP:460,000EGP",2019,"Audi
A5
2019
Used
45,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/audi-a5/55e7ac5008b2425f8ec04cc7f680ee4a?status=Used
"location_on
Giza
, 6th of October",Premium,6 october,"6 october

1.4 A/T H/L Turbo

800,000EGP",2019,"OPEL
Astra
2019
Used
44,500
km
Automatic",https://www.contactcars.com/en/used-cars/opel-astra/f4d25bdc0871427f9ef7f9abce3fb743?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,Mercedes E200 2024,"Mercedes E200 2024
4,750,000EGP
Min. DP:950,000EGP",2024,"Mercedes
E200
2024
New
Automatic
Imported Specs",https://www.contactcars.com/en/new-cars/mercedes-e200/for-sale/c9ab1118dd394ece9232bec702fcc1f5?status=New?dealer=1519521
"location_on
Giza
, Sheikh Zayed",Premium,GLC 200 Coupe AMG,"GLC 200 Coupe AMG
4,500,000EGP
Min. DP:900,000EGP",2024,"Mercedes
GLC 200
2024
New
Automatic",https://www.contactcars.com/en/new-cars/mercedes-glc_200/for-sale/3b6c934a397d43fbbf93ed2dcf17ce4f?status=New?dealer=1519521
"location_on
Giza
, Sheikh Zayed",Premium,Jeep,"Jeep

5.7 A/T Limited

600,000EGP
Min. DP:120,000EGP",2018,"Jeep
Grand Cherokee
2018
Used
35,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/jeep-grand_cherokee/a1b3c6cc71764c668a7cd0a771e6c7e1?status=Used
"location_on
Alexandria
, Smouha",Premium,Golf 8 R line Black edition,"Golf 8 R line Black edition
2,250,000EGP
Min. DP:450,000EGP",2024,"Volkswagen
Golf
2024
New
Automatic
Imported Specs
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/new-cars/volkswagen-golf/for-sale/5805d99615fa40b69730417d2301b27c?status=New
"location_on
Cairo
, Nasr City",Premium,سيتروين C5 اير كروس 2024,"سيتروين C5 اير كروس 2024

1.6 A/T live

Down Payment445,000EGP",2024,"Citroen
C5 Aircross
2024
New
Automatic",https://www.contactcars.com/en/new-cars/citroen-c5_aircross/for-sale/fe7c1382fe834bbe9ed08eec9b2b9e20?status=New?dealer=1519293
"location_on
Cairo
, Waili",Premium,لانوس فيراني 2019,"لانوس فيراني 2019

1.5 M/T F/O

355,000EGP",2019,"Chevrolet
Lanos
2019
Used
152,542
km
Manual
almost new",https://www.contactcars.com/en/used-cars/chevrolet-lanos/e8a96147f499448593b6b83c70c0cbad?status=Used?dealer=1519451
"location_on
Cairo
, Waili",Premium,اوبترا فيراني ميتالك 2021,"اوبترا فيراني ميتالك 2021

1.5 A/T

575,000EGP",2021,"Chevrolet
Optra
2021
Used
87,539
km
Automatic
almost new",https://www.contactcars.com/en/used-cars/chevrolet-optra/f294e92b64c3476881c3fb1f191bf2fc?status=Used?dealer=1519451
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,Renault Stepway in a perfect condition,"Renault Stepway in a perfect condition

Top

485,000EGP",2016,"Renault
Sandero Stepway
2016
Used
200,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/renault-sandero_stepway/43e4affc406c40018978179d6b127daf?status=Used
"location_on
Cairo
, Rehab City",Premium,Ibrahim,"Ibrahim
840,000EGP",2010,"Jeep
Cherokee
2010
Used
128,000
km
Automatic
Installments Cont'd
almost new",https://www.contactcars.com/en/used-cars/jeep-cherokee/6065ff1815f24fcea25063b1b37db929?status=Used
"location_on
Cairo
, Nasr City",Premium,جاك js2,"جاك js2

1.5 A/T Smart

Down Payment210,000EGP",2024,"JAC
JS2
2024
New
Automatic",https://www.contactcars.com/en/new-cars/jac-js2/for-sale/4a75f42ef9db4a44bf96187e08a60515?status=New?dealer=1519410
"location_on
Cairo
, Heliopolis",Premium,بي ام دبليو 740 موديل 2020 كاش او تقسيط,"بي ام دبليو 740 موديل 2020 كاش او تقسيط
4,550,000EGP",2020,"BMW
740i
2020
Used
100,000
km
Automatic",https://www.contactcars.com/en/used-cars/bmw-740i/803a637dbf604530be88f3dcb0ccd78d?status=Used
"location_on
Cairo
, Zahraa Maadi",Premium,جراند سيراتو خليجي,"جراند سيراتو خليجي

1.6 A/T H/L

1,270,000EGP
Min. DP:254,000EGP",2023,"Kia
Grand Cerato
2023
New
Automatic
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-grand_cerato/for-sale/df4d5d577c5c4000959ffcd2a4a28e32?status=New
"location_on
Eastern
, Kafr Saqr",Premium,نيسان صني ٢٠١٥,"نيسان صني ٢٠١٥
490,000EGP",2015,"Nissan
Sunny
2015
Used
107,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/nissan-sunny/75de7c9ed67a470d91a6606d633a2bc2?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,أول يد من الزيرو صيانة التوكيل حتى 90000 كم,"أول يد من الزيرو صيانة التوكيل حتى 90000 كم

1.5 A/T Luxury

1,500,000EGP",2017,"BMW
318i
2017
Used
91,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/bmw-318i/a8f31f130b0f4a2bb3bc06046c034e54?status=Used
"location_on
Cairo
, Madinaty",Premium,فباريكه بالكامل,"فباريكه بالكامل

1.2 A/T H/L Turbo Sedan

1,175,000EGP
Min. DP:235,000EGP",2020,"Renault
Megane
2020
Used
42,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/renault-megane/e701c2d5dfb441af877393511c8b9525?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,Toyota Corolla 2018 in excellent condition,"Toyota Corolla 2018 in excellent condition

1.6 A/T

850,000EGP",2018,"Toyota
Corolla
2018
Used
146,000
km
Automatic",https://www.contactcars.com/en/used-cars/toyota-corolla/9f04cc5b7f9a4f0cbb1d4af483c29ae6?status=Used
"location_on
Cairo
, Heliopolis",Premium,Mercedes CLA 200 /2024,"Mercedes CLA 200 /2024
Down Payment1,750,000EGP",2024,"Mercedes
CLA 200
2024
New
Automatic",https://www.contactcars.com/en/new-cars/mercedes-cla_200/for-sale/b096d3c33119457a9b0ac92629bf98f9?status=New?dealer=1519501
"location_on
Egypt",Premium,KIA sportage 2024 WAKEL Zero الفئه 2,"KIA sportage 2024 WAKEL Zero الفئه 2

1.6 A/T EX

1,950,000EGP
Min. DP:390,000EGP",2024,"Kia
Sportage NQ5
2024
New
Automatic
In Warranty",https://www.contactcars.com/en/new-cars/kia-sportage_nq5/for-sale/a78cc3ce1f744068a42c70fb1a024411?status=New?dealer=1519520
"location_on
Cairo
, Nasr City",Premium,C200,"C200
2,000,000EGP
Min. DP:400,000EGP",2023,"Mercedes
C200
2023
Used
5,000
km
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/mercedes-c200/4be79390132c4d13b68e31d65d7e1cb7?status=Used?dealer=1519487
"location_on
Cairo
, Nasr City",Premium,BMW X5 M60i 2024,"BMW X5 M60i 2024

4.4 A/T M60i

Down Payment3,950,000EGP",2024,"BMW
X5
2024
New
Automatic
In Warranty",https://www.contactcars.com/en/new-cars/bmw-x5/for-sale/ba3ca2ec9f584b54a6e31e344d7403a2?status=New
"location_on
Cairo
, Nasr City",Premium,320I M sport 2024,"320I M sport 2024

1.6 A/T LCI M Sport

Down Payment1,500,000EGP",2024,"BMW
320i
2024
New
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/bmw-320i/for-sale/71fb089c3b18449eb8de27b88c262fbd?status=New?dealer=1519483
"location_on
Cairo
, Nasr City",Premium,Range Rover Velar,"Range Rover Velar
6,100,000EGP
Min. DP:1,220,000EGP",2024,"Range Rover
Velar
2024
New
Automatic",https://www.contactcars.com/en/new-cars/range_rover-velar/for-sale/4ad8de0c2aa94dbaba5b54b19d352714?status=New
"location_on
Cairo
, Nasr City",Premium,اوبل موكا 2024,"اوبل موكا 2024

1.2 A/T Turbo GS Line

Down Payment355,000EGP",2024,"OPEL
Mokka
2024
New
Automatic",https://www.contactcars.com/en/new-cars/opel-mokka/for-sale/745a9b77d05b428e8901a956560b2e62?status=New?dealer=1519410
"location_on
Cairo
, Heliopolis",Premium,GX3 PRO 2024 هي دي فرصتك,"GX3 PRO 2024 هي دي فرصتك
Down Payment220,000EGP",2024,"Geely
GX3 PRO
2024
New
Automatic",https://www.contactcars.com/en/new-cars/geely-gx3_pro/for-sale/167601f9248e4829b5424a40e59ba8c2?status=New?dealer=1519277
"location_on
Cairo
, Nasr City",Premium,hyundai elantra HD,"hyundai elantra HD

1.6 A/T GL DAB ABS HD

Down Payment190,000EGP",2024,"Hyundai
Elantra HD
2024
New
Automatic
for Exchange
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/hyundai-elantra_hd/for-sale/c38538f8720540d2a215d39de9d2d890?status=New?dealer=1519449
"location_on
Qalyubia
, El Oobor",Premium,رينو فلوانس خليجي بحالة الزيرو مالك اول,"رينو فلوانس خليجي بحالة الزيرو مالك اول
485,000EGP",2011,"Renault
Fluence
2011
Used
199,999
km
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/renault-fluence/996acab162c34b688c2aca33049d99b3?status=Used
"location_on
Cairo
, Nasr City",Premium,Tiguan 2023,"Tiguan 2023

1.4 A/T R-Line

Down Payment720,000EGP",2023,"Volkswagen
Tiguan
2023
New
Automatic",https://www.contactcars.com/en/new-cars/volkswagen-tiguan/for-sale/45518d214f4c45cfb7d4ab8376c6f170?status=New?dealer=1519511
"location_on
Giza
, Sheikh Zayed",Premium,بيجو 408 GT موديل 2024,"بيجو 408 GT موديل 2024

1.6 A/T GT

2,500,000EGP
Min. DP:500,000EGP",2024,"Peugeot
408
2024
New
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/peugeot-408/for-sale/43d13aeb89f2409a885ea7a2aab8b6a5?status=New?dealer=1519380
"location_on
Giza
, Sheikh Zayed",Premium,My c189,"My c189

1.6 A/T Avantgarde

2,500,000EGP",2019,"Mercedes
C180
2019
Used
100,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/mercedes-c180/18acdf4e3ea546128e8b57de238267a1?status=Used
"location_on
Cairo
, Nasr City",Premium,هافال JOLION,"هافال JOLION
Down Payment378,000EGP",2024,"Haval
JOLION
2024
New
Automatic",https://www.contactcars.com/en/new-cars/haval-jolion/for-sale/7597ca1247884596a9d87432be607c94?status=New?dealer=1519410
"location_on
Cairo
, Heliopolis",Premium,مرسيدس E200 افنجارد موديل 2014 الحاله فبريكا بره وجوه بالكامل,"مرسيدس E200 افنجارد موديل 2014 الحاله فبريكا بره وجوه بالكامل
2,450,000EGP",2014,"Mercedes
E200
2014
Used
90,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/mercedes-e200/f62cbfaa83f54865acba56af56428ed0?status=Used
"location_on
Egypt",Premium,Mercedes GLA200 Progressive 2021,"Mercedes GLA200 Progressive 2021

1.3 A/T Progressive

2,250,000EGP
Min. DP:450,000EGP",2021,"Mercedes
GLA 200
2021
Used
61,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/mercedes-gla_200/2542f28fb0004e8fa59242a7074a9f66?status=Used?dealer=1519471
"location_on
Qalyubia
, Shubra Al Khaimah",Premium,ش الشعراوي القديم بهتيم,"ش الشعراوي القديم بهتيم

1.6 A/T GT 4WD

1,000,000EGP",2017,"Kia
Sportage
2017
Used
105,000
km
Automatic
for Exchange",https://www.contactcars.com/en/used-cars/kia-sportage/63a4d892fee5439481ddb7af18dc86b5?status=Used
"location_on
Bani Sweif
, Bani Sweif",Premium,لانسر شارك خليجى موديل 2016 اعلى فئة بصمةبدون فتحة,"لانسر شارك خليجى موديل 2016 اعلى فئة بصمةبدون فتحة

1.6 A/T EX

670,000EGP",2016,"Mitsubishi
Lancer
2016
Used
173,000
km
Automatic",https://www.contactcars.com/en/used-cars/mitsubishi-lancer/95ee3a3c09994b1ba5b35cc7d602ca75?status=Used
